prefecture,year,entrants_total,national,public,private
三重県,2021,3303,1335,102,1866
滋賀県,2021,7661,957,625,6079
京都府,2021,35049,3820,1082,30147
大阪府,2021,56375,4278,2943,49154
兵庫県,2021,27050,2767,1897,22386
奈良県,2021,4777,770,348,3659
和歌山県,2021,2038,939,281,818
鳥取県,2021,1554,1161,315,78
島根県,2021,1682,1206,476,0
岡山県,2021,9068,2257,577,6234
広島県,2021,13328,2407,1677,9244
山口県,2021,4306,1965,1113,1228
徳島県,2021,2638,1422,0,1216
香川県,2021,2092,1275,90,727
愛媛県,2021,3875,1818,100,1957
高知県,2021,2212,1110,906,196
福岡県,2021,25963,4214,2097,19652
佐賀県,2021,1817,1315,0,502
長崎県,2021,3914,1657,752,1505
熊本県,2021,5643,1706,505,3432
大分県,2021,3029,1086,81,1862
宮崎県,2021,2174,1064,312,798
鹿児島県,2021,3652,2100,0,1552
沖縄県,2021,4153,1567,664,1922
北海道,2022,19298,5767,1394,12137
青森県,2022,3446,1370,543,1533
岩手県,2022,2440,1084,460,896
宮城県,2022,11819,2811,450,8558
秋田県,2022,2027,982,681,364
山形県,2022,2810,1696,148,966
福島県,2022,3428,986,613,1829
茨城県,2022,6493,3835,175,2483
栃木県,2022,4879,976,0,3903
群馬県,2022,6838,1132,1626,4080
埼玉県,2022,28637,1604,405,26628
千葉県,2022,27419,2646,182,24591
東京都,2022,156356,10115,1654,144587
神奈川県,2022,47445,1711,1306,44428
新潟県,2022,6641,2543,812,3286
富山県,2022,2596,1815,507,274
石川県,2022,6630,1769,626,4235
福井県,2022,2340,885,534,921
山梨県,2022,4214,863,1084,2267
長野県,2022,4132,2041,1016,1075
岐阜県,2022,4650,1289,200,3161
静岡県,2022,8057,2186,1048,4823
愛知県,2022,43255,4127,1844,37284
三重県,2022,3143,1328,100,1715
滋賀県,2022,7619,969,617,6033
京都府,2022,35817,3835,1100,30882
大阪府,2022,56600,4273,2917,49410
兵庫県,2022,27341,2775,1915,22651
奈良県,2022,4677,782,362,3533
和歌山県,2022,2139,916,280,943
鳥取県,2022,1581,1171,323,87
島根県,2022,1677,1181,496,0
岡山県,2022,9232,2264,578,6390
広島県,2022,13253,2421,1671,9161
山口県,2022,4318,1975,1487,856
徳島県,2022,2682,1413,0,1269
香川県,2022,2125,1280,90,755
愛媛県,2022,3967,1821,100,2046
高知県,2022,2248,1117,912,219
福岡県,2022,26174,4222,2084,19868
佐賀県,2022,1779,1303,0,476
長崎県,2022,3809,1660,754,1395
熊本県,2022,5830,1701,516,3613
大分県,2022,3043,1082,80,1881
宮崎県,2022,2258,1062,314,882
鹿児島県,2022,3687,2119,0,1568
沖縄県,2022,4307,1568,675,2064
北海道,2023,19069,5776,1616,11677
青森県,2023,3217,1366,551,1300
岩手県,2023,2442,1071,464,907
宮城県,2023,11547,2802,446,8299
秋田県,2023,1948,981,684,283
山形県,2023,2780,1709,146,925
福島県,2023,3384,1012,614,1758
茨城県,2023,6413,3848,174,2391
栃木県,2023,4977,1013,0,3964
群馬県,2023,6604,1134,1620,3850
埼玉県,2023,28130,1589,401,26140
千葉県,2023,27174,2640,183,24351
東京都,2023,157086,10075,1661,145350
神奈川県,2023,47792,1741,1316,44735
新潟県,2023,6633,2549,809,3275
富山県,2023,2557,1800,510,247
石川県,2023,6540,1777,618,4145
福井県,2023,2324,889,525,910
山梨県,2023,4126,853,1109,2164
長野県,2023,4117,2045,1002,1070
岐阜県,2023,4501,1284,218,2999
静岡県,2023,8034,2189,1063,4782
愛知県,2023,43241,4107,2016,37118
三重県,2023,3172,1348,101,1723
滋賀県,2023,7967,979,628,6360
京都府,2023,35395,3829,1090,30476
大阪府,2023,57089,4246,2927,49916
兵庫県,2023,27095,2765,1964,22366
奈良県,2023,4438,786,363,3289
和歌山県,2023,2085,935,282,868
鳥取県,2023,1579,1177,320,82
島根県,2023,1710,1236,474,0
岡山県,2023,8845,2295,579,5971
広島県,2023,12985,2471,1645,8869
山口県,2023,4309,1979,1546,784
徳島県,2023,2666,1467,0,1199
香川県,2023,2040,1290,90,660
愛媛県,2023,3947,1845,100,2002
高知県,2023,2233,1111,919,203
福岡県,2023,26055,4205,2083,19767
佐賀県,2023,1798,1332,0,466
長崎県,2023,3795,1663,742,1390
熊本県,2023,5699,1714,513,3472
大分県,2023,3234,1085,82,2067
宮崎県,2023,2125,1055,305,765
鹿児島県,2023,3644,2127,0,1517
沖縄県,2023,4361,1567,761,2033
北海道,2024,18766,5913,1584,11269
青森県,2024,3163,1388,544,1231
岩手県,2024,2399,1090,455,854
宮城県,2024,11663,2857,447,8359
秋田県,2024,1989,992,696,301
山形県,2024,2797,1701,192,904
福島県,2024,3037,998,617,1422
茨城県,2024,6464,3850,176,2438
栃木県,2024,4869,991,0,3878
群馬県,2024,6863,1131,1646,4086
埼玉県,2024,26803,1637,407,24759
千葉県,2024,26925,2692,174,24059
東京都,2024,156543,10133,1638,144772
神奈川県,2024,47365,1768,1322,44275
新潟県,2024,6609,2549,818,3242
富山県,2024,2591,1817,550,224
石川県,2024,6590,1905,624,4061
福井県,2024,2275,883,549,843
山梨県,2024,4260,871,1166,2223
長野県,2024,4037,2059,1016,962
岐阜県,2024,4461,1286,190,2985
静岡県,2024,8077,2193,1038,4846
愛知県,2024,42394,4120,2010,36264
三重県,2024,3215,1350,103,1762
滋賀県,2024,7581,982,636,5963
京都府,2024,35019,3808,1084,30127
大阪府,2024,57165,4226,2902,50037
兵庫県,2024,27084,2771,1909,22404
奈良県,2024,4330,786,364,3180
和歌山県,2024,2070,932,282,856
鳥取県,2024,1592,1189,325,78
島根県,2024,1713,1233,480,0
岡山県,2024,8635,2301,597,5737
広島県,2024,12483,2463,1633,8387
山口県,2024,4630,1939,1813,878
徳島県,2024,2455,1450,0,1005
香川県,2024,1977,1285,88,604
愛媛県,2024,3920,1882,101,1937
高知県,2024,2333,1121,993,219
福岡県,2024,26956,4210,2121,20625
佐賀県,2024,1792,1359,0,433
長崎県,2024,3802,1686,761,1355
熊本県,2024,5747,1739,527,3481
大分県,2024,3275,1144,80,2051
宮崎県,2024,2085,1046,316,723
鹿児島県,2024,3570,2095,0,1475
沖縄県,2024,4397,1565,840,1992
北海道,2025,19317,5861,1674,11782
青森県,2025,3262,1427,551,1284
岩手県,2025,2460,1104,468,888
宮城県,2025,11810,2825,442,8543
秋田県,2025,1991,989,712,290
山形県,2025,2956,1769,191,996
福島県,2025,3066,1069,599,1398
茨城県,2025,6445,3845,177,2423
栃木県,2025,4967,988,0,3979
群馬県,2025,6964,1146,1668,4150
埼玉県,2025,27513,1673,405,25435
千葉県,2025,27618,2648,181,24789
東京都,2025,160910,10183,1653,149074
神奈川県,2025,48181,1792,1303,45086
新潟県,2025,6835,2583,846,3406
富山県,2025,2546,1832,540,174
石川県,2025,6698,1900,633,4165
福井県,2025,2389,894,577,918
